date;heure;PA01H;ARG;EVRY;GEN;LOGNES;MELUN;VILLEM;PA15L;A1;DEF;GON;PA13;VERS;RUR-SE;CHAMP;PA18;OPERA;BOB;MANT;STDEN;RN6;RN20;AUT;BONAP;RUR-SO;HAUS;VITRY;RN2;SOULT;BASCH;CELES;ELYS;MONTG;NEUIL;PA12;BP_EST;AUB;EIFF3;PA07;TREMB
2020-01-26;7;38;40;36;56;26;21;34;39;66;51;39;38;29;19;34;45;47;37;35;43;28;47;n/d;n/d;13;49;n/d;52;35;54;43;43;28;50;39;62;41;6;38;30
2020-01-26;8;39;41;31;56;31;21;32;38;72;45;41;36;25;13;31;47;48;36;37;43;39;66;n/d;n/d;12;49;n/d;51;35;58;41;42;27;52;40;68;43;4;38;32
2020-01-26;9;42;50;28;53;33;20;33;35;66;44;43;44;24;10;31;48;55;36;34;44;36;87;n/d;n/d;10;52;n/d;55;38;60;51;49;28;50;42;70;44;5;39;32
2020-01-26;10;43;37;27;40;33;25;37;31;77;37;48;43;25;8;33;49;55;40;32;48;44;106;n/d;n/d;10;58;n/d;66;40;68;55;50;29;36;44;75;47;10;35;32
2020-01-26;11;45;35;23;30;28;26;35;31;80;31;53;44;18;7;36;49;56;54;25;49;53;87;n/d;n/d;8;55;n/d;68;38;65;50;50;25;42;44;77;46;23;40;34
2020-01-26;12;45;38;22;33;32;19;39;22;78;30;52;43;16;6;32;51;66;48;13;51;41;82;n/d;n/d;7;60;n/d;72;49;73;46;43;25;44;50;84;47;10;30;39
2020-01-26;13;39;24;21;27;28;16;39;18;78;29;52;41;12;5;37;44;57;43;13;47;40;79;n/d;n/d;6;46;n/d;78;45;68;40;36;22;35;45;82;47;12;21;35
2020-01-26;14;30;16;19;17;24;18;34;15;59;26;45;35;10;4;25;29;42;35;11;27;36;60;n/d;n/d;4;38;n/d;64;41;49;32;31;17;27;36;60;37;12;19;31
2020-01-26;15;22;16;17;16;16;20;25;12;56;23;31;23;9;4;19;23;57;27;13;23;45;59;n/d;n/d;4;39;n/d;59;31;60;25;28;18;28;28;54;26;8;15;30
2020-01-26;16;27;19;20;18;19;17;23;14;60;27;29;27;11;5;20;27;50;26;16;26;41;83;n/d;n/d;5;45;n/d;59;38;45;32;36;16;28;29;55;36;11;19;23
2020-01-26;17;38;26;32;26;35;26;42;25;63;34;36;45;14;6;40;36;65;38;19;34;68;107;n/d;n/d;7;51;n/d;74;58;83;48;38;25;46;48;100;42;6;26;33
2020-01-26;18;53;32;44;42;33;34;54;41;94;39;55;55;15;5;39;51;73;49;17;54;86;119;n/d;n/d;7;60;n/d;77;60;92;62;53;28;54;57;101;48;9;39;36
2020-01-26;19;56;37;35;45;28;29;45;40;91;49;53;56;17;4;30;56;67;46;14;56;44;94;n/d;n/d;6;63;n/d;68;52;90;63;57;23;58;56;92;49;10;47;34
2020-01-26;20;49;24;25;46;20;18;33;30;78;34;41;43;12;3;27;48;61;40;11;50;25;66;n/d;n/d;5;58;n/d;62;41;71;50;47;18;49;47;85;41;11;38;23
2020-01-26;21;41;14;11;31;13;12;23;14;77;24;36;40;9;2;18;40;54;32;8;42;16;49;n/d;n/d;4;49;n/d;59;38;70;40;38;11;38;45;74;35;9;24;17
2020-01-26;22;32;10;9;18;13;9;20;10;73;18;32;31;8;2;18;36;42;21;7;37;9;34;n/d;n/d;4;38;n/d;56;30;50;32;23;7;27;36;64;29;7;12;15
2020-01-26;23;20;7;8;12;10;8;13;7;49;15;23;25;7;2;9;22;28;17;7;20;8;30;n/d;n/d;3;23;n/d;42;19;44;21;16;6;22;23;50;23;5;8;13
2020-01-26;24;16;6;6;10;6;6;10;6;40;10;17;21;6;1;8;17;26;14;6;15;4;21;n/d;n/d;2;20;n/d;34;17;33;17;13;6;19;20;41;19;4;6;10
2020-01-27;1;12;5;5;9;7;6;9;5;33;9;13;15;5;2;11;15;19;12;5;13;4;17;n/d;n/d;2;13;n/d;26;13;20;14;11;5;14;17;36;14;4;4;9
2020-01-27;2;9;4;5;7;6;6;8;4;23;7;10;12;4;1;11;11;13;10;5;7;4;9;n/d;n/d;2;10;n/d;21;9;13;10;9;5;12;14;27;11;3;4;8
2020-01-27;3;8;5;5;7;4;5;7;4;22;6;8;9;4;2;6;9;10;7;4;6;5;18;n/d;n/d;4;9;n/d;19;9;11;8;7;5;12;11;26;9;3;4;9
2020-01-27;4;8;6;6;7;5;5;7;4;33;7;7;11;4;2;7;9;10;7;5;6;4;26;n/d;n/d;2;10;n/d;17;10;17;8;8;5;13;11;29;9;3;5;8
2020-01-27;5;11;12;9;9;9;7;10;6;56;10;12;18;5;1;11;15;21;13;9;10;12;44;n/d;n/d;2;17;n/d;37;16;40;13;12;6;20;19;45;15;3;7;9
2020-01-27;6;20;20;16;12;12;14;18;10;58;20;19;24;7;2;17;19;37;23;19;22;26;57;n/d;n/d;3;27;n/d;58;31;66;18;22;9;28;32;52;28;5;10;19
2020-01-27;7;34;29;20;19;15;18;26;15;62;36;28;31;11;2;22;29;57;33;26;35;44;66;n/d;n/d;3;41;n/d;68;48;73;27;39;12;36;37;58;41;6;30;26
2020-01-27;8;38;30;20;24;21;24;34;20;63;34;39;35;11;3;29;33;57;32;33;37;44;58;n/d;n/d;3;43;n/d;63;49;80;32;39;15;38;40;52;38;8;25;33
2020-01-27;9;39;26;20;23;19;22;25;19;65;32;30;33;10;2;26;32;61;32;32;36;44;56;n/d;n/d;5;42;n/d;55;41;63;31;38;13;37;35;54;41;9;27;29
2020-01-27;10;33;29;26;23;n/d;n/d;20;16;76;24;n/d;26;11;2;21;29;73;28;44;35;48;43;n/d;n/d;5;48;n/d;40;41;n/d;30;47;13;31;32;47;37;8;n/d;26
2020-01-27;11;34;27;24;22;18;n/d;22;17;61;28;31;26;12;3;22;26;66;27;27;38;51;57;n/d;n/d;6;47;n/d;49;38;55;31;43;14;34;32;46;37;8;n/d;30
2020-01-27;12;31;24;25;22;16;18;23;16;56;31;25;27;11;2;23;26;58;28;18;30;54;53;n/d;n/d;7;43;n/d;54;34;55;28;35;16;33;33;50;31;10;n/d;25
2020-01-27;13;34;21;27;19;19;18;24;16;55;28;26;27;12;2;23;26;60;29;14;31;50;55;n/d;n/d;5;46;n/d;52;34;52;34;36;21;n/d;34;53;33;11;n/d;29
2020-01-27;14;37;20;n/d;19;19;20;29;17;62;29;24;30;12;3;27;27;55;31;12;28;45;62;n/d;n/d;4;43;n/d;62;40;67;32;37;21;n/d;35;63;34;9;n/d;30
2020-01-27;15;35;22;26;25;24;21;28;18;75;30;29;36;13;3;25;30;68;33;12;34;41;78;n/d;n/d;4;47;n/d;64;43;76;38;36;17;n/d;39;75;33;9;18;26
2020-01-27;16;35;24;23;31;31;25;31;19;80;35;33;43;13;3;25;34;65;34;17;43;40;70;n/d;n/d;4;47;n/d;65;48;90;43;34;17;44;43;75;37;9;19;27
2020-01-27;17;30;21;26;26;27;19;31;17;66;36;33;40;11;2;22;29;60;32;20;37;44;71;n/d;n/d;4;37;n/d;59;43;81;34;29;15;39;39;61;32;9;17;26
2020-01-27;18;29;25;21;22;21;17;25;15;62;33;26;32;11;2;19;27;53;27;21;29;35;63;n/d;n/d;4;36;n/d;55;38;69;30;29;14;35;37;58;28;6;16;25
2020-01-27;19;27;26;19;23;17;14;23;14;63;26;25;29;10;2;20;27;46;26;19;34;26;48;n/d;n/d;4;41;n/d;52;32;53;27;30;15;28;30;51;30;6;17;21
2020-01-27;20;24;20;20;19;13;12;19;12;55;23;22;25;10;2;19;24;41;22;17;32;31;40;n/d;n/d;4;37;n/d;43;29;45;26;33;13;23;27;45;27;5;14;23
2020-01-27;21;21;13;11;13;11;11;15;9;60;n/d;22;17;9;2;15;20;37;15;13;35;29;26;n/d;n/d;3;37;n/d;37;23;31;22;27;11;20;22;39;22;4;12;19
2020-01-27;22;16;13;9;13;8;7;13;7;60;n/d;17;12;7;1;12;17;31;12;9;28;18;24;n/d;n/d;2;36;n/d;39;17;31;18;22;8;17;17;32;21;2;10;15
2020-01-27;23;14;10;8;11;6;5;10;7;48;n/d;14;11;6;1;9;15;29;10;8;27;13;18;n/d;n/d;2;38;n/d;32;17;26;13;17;6;15;19;33;17;2;8;12
2020-01-27;24;12;7;9;8;4;5;8;6;35;n/d;10;11;4;1;9;13;21;12;7;14;9;16;n/d;n/d;2;28;n/d;29;15;24;11;14;6;13;15;27;16;3;7;12
2020-01-28;1;11;5;9;7;4;4;8;5;33;n/d;8;10;4;1;8;10;16;11;6;9;10;10;n/d;n/d;2;15;n/d;25;11;17;10;10;4;11;13;27;13;3;6;11
2020-01-28;2;8;4;6;6;4;4;6;4;25;n/d;7;7;4;0;6;9;10;9;5;8;7;13;n/d;n/d;2;17;n/d;18;7;10;7;7;4;9;9;18;10;2;5;9
2020-01-28;3;6;5;7;5;3;4;6;4;26;11;7;6;4;0;6;7;9;8;4;14;5;14;n/d;n/d;2;42;n/d;11;7;10;6;8;4;8;8;18;8;2;4;9
2020-01-28;4;6;6;5;5;4;4;6;4;44;5;9;6;3;0;6;7;9;5;8;13;7;23;n/d;n/d;1;29;n/d;13;7;11;7;8;4;9;8;16;8;2;4;8
2020-01-28;5;6;10;6;7;7;6;6;4;75;7;7;9;3;1;11;9;19;7;10;5;21;39;n/d;n/d;2;26;n/d;18;11;17;13;14;5;11;9;18;10;2;5;11
2020-01-28;6;12;15;10;11;12;11;11;9;82;9;12;14;5;1;19;15;40;12;12;11;26;44;n/d;n/d;2;33;n/d;28;14;25;20;24;9;17;14;22;17;4;11;14
2020-01-28;7;20;14;15;13;15;18;14;14;78;16;14;22;11;1;19;20;60;19;13;14;46;44;n/d;n/d;3;45;n/d;37;27;35;31;34;13;21;21;30;21;6;24;19
2020-01-28;8;25;17;20;17;19;22;20;19;79;28;11;22;15;1;23;31;62;22;18;18;48;43;n/d;n/d;3;61;n/d;39;37;41;35;42;17;31;26;33;30;7;n/d;28
2020-01-28;9;29;16;18;16;21;14;25;19;83;22;12;23;13;2;23;25;64;25;13;21;40;38;n/d;n/d;2;61;n/d;36;28;40;43;41;13;n/d;27;26;27;7;n/d;25
2020-01-28;10;20;13;15;11;14;13;16;15;74;14;8;18;9;2;17;20;62;15;11;17;39;34;n/d;n/d;3;49;n/d;27;21;36;27;35;10;22;22;22;19;5;n/d;22
2020-01-28;11;19;14;16;11;11;12;15;15;58;13;8;16;8;1;14;16;54;17;11;15;34;32;n/d;n/d;2;47;n/d;27;20;31;30;35;10;20;20;21;20;5;n/d;19
2020-01-28;12;17;11;16;9;11;13;14;12;59;11;8;14;7;1;13;18;53;11;11;13;35;30;n/d;n/d;2;49;n/d;24;16;31;28;31;8;20;18;16;17;4;n/d;16
2020-01-28;13;16;20;16;16;14;12;17;13;72;16;10;16;8;1;14;n/d;53;15;11;22;28;30;n/d;n/d;2;47;n/d;38;17;31;27;30;8;18;18;18;23;3;n/d;24
2020-01-28;14;16;13;17;10;12;13;19;13;71;12;12;16;8;1;16;18;49;17;11;19;32;29;n/d;n/d;2;45;n/d;30;20;38;31;31;10;22;22;18;21;4;n/d;24
2020-01-28;15;18;13;18;11;13;13;15;14;77;14;9;18;10;2;17;20;57;14;13;19;38;36;n/d;n/d;2;51;n/d;31;18;33;29;37;11;24;20;18;20;4;n/d;23
2020-01-28;16;22;21;26;13;15;28;17;16;84;19;12;21;12;2;22;22;71;19;20;22;56;57;n/d;n/d;3;60;n/d;35;30;50;35;47;18;24;23;33;23;7;24;25
2020-01-28;17;26;28;24;20;25;27;22;17;87;26;20;28;15;3;33;30;71;23;20;28;64;56;n/d;n/d;4;60;n/d;43;54;57;36;55;25;31;29;53;32;9;26;32
2020-01-28;18;28;25;28;20;19;23;20;19;76;29;24;28;17;3;32;29;65;20;22;25;61;75;n/d;n/d;5;53;n/d;44;53;65;38;48;26;32;35;51;27;5;22;29
2020-01-28;19;35;29;20;35;29;21;32;22;79;31;25;31;13;3;34;41;76;31;17;37;43;44;n/d;n/d;4;67;n/d;52;47;49;42;56;22;43;39;53;40;10;38;38
2020-01-28;20;28;19;14;24;22;12;23;20;84;18;23;23;10;2;23;33;55;24;13;25;26;22;n/d;n/d;2;53;n/d;34;27;35;34;42;14;34;25;27;30;6;22;34
2020-01-28;21;17;10;12;12;15;10;17;12;76;14;15;17;8;1;16;19;34;13;13;15;30;22;n/d;n/d;2;41;n/d;21;14;25;27;26;9;20;18;13;14;3;13;26
2020-01-28;22;18;12;12;13;13;9;14;10;79;12;11;18;7;1;17;21;45;17;17;15;24;34;n/d;n/d;1;66;n/d;24;16;30;26;37;8;24;20;17;16;3;21;18
2020-01-28;23;15;10;12;13;13;10;12;8;76;10;12;15;4;0;15;18;42;17;12;14;22;33;n/d;n/d;1;59;n/d;23;15;23;21;28;9;21;18;20;15;3;13;23
2020-01-28;24;11;8;8;12;10;6;9;6;56;10;8;11;3;1;15;18;31;12;12;9;8;13;n/d;n/d;1;39;n/d;23;13;20;16;21;7;16;16;16;12;2;10;14
2020-01-29;1;10;9;7;13;11;6;14;5;74;8;15;13;3;1;13;15;26;12;11;16;11;13;n/d;n/d;1;35;n/d;20;17;18;18;19;6;16;19;24;12;3;9;18
2020-01-29;2;8;6;6;10;8;5;8;5;54;6;19;9;3;1;14;11;19;13;10;10;19;12;n/d;n/d;1;36;n/d;13;11;14;12;16;7;16;11;14;7;2;6;21
2020-01-29;3;9;8;6;9;11;6;6;5;53;6;13;11;3;1;13;12;17;11;13;8;18;16;n/d;n/d;1;41;n/d;15;15;14;12;19;6;16;11;28;9;1;9;17
2020-01-29;4;9;12;7;9;13;8;7;5;59;6;10;10;3;1;19;12;19;12;10;10;15;26;n/d;n/d;1;35;n/d;16;14;15;12;18;6;16;11;26;8;2;6;17
2020-01-29;5;12;17;10;10;18;17;12;8;77;8;12;16;5;1;23;16;27;13;18;12;32;74;n/d;n/d;2;33;n/d;24;28;24;21;24;11;19;14;62;14;2;9;19
2020-01-29;6;23;32;20;16;28;22;20;17;99;15;21;29;11;2;44;22;57;21;25;20;46;72;n/d;n/d;2;46;n/d;47;57;42;38;40;18;30;29;77;26;4;17;28
2020-01-29;7;34;31;29;23;46;33;32;27;100;23;24;41;22;2;50;33;75;33;29;27;49;62;n/d;n/d;4;65;n/d;52;67;52;57;57;22;39;39;74;38;6;n/d;38
2020-01-29;8;44;31;33;29;42;30;36;32;97;31;34;43;27;3;52;39;86;36;30;37;65;89;n/d;n/d;7;72;n/d;51;67;55;62;68;26;41;44;61;41;7;n/d;47
2020-01-29;9;44;28;35;31;43;33;37;33;95;31;31;41;24;4;53;41;86;37;27;38;59;80;n/d;n/d;7;72;n/d;47;55;57;56;66;29;43;43;50;42;10;n/d;49
2020-01-29;10;31;21;30;21;33;25;32;27;81;23;17;33;16;2;41;30;70;29;18;28;42;63;n/d;n/d;3;60;n/d;37;36;56;48;51;20;33;37;34;34;9;n/d;34
2020-01-29;11;25;18;21;13;26;18;24;18;80;22;13;25;11;1;25;23;60;21;12;21;34;41;n/d;n/d;2;58;n/d;33;27;44;43;38;16;28;30;25;26;6;n/d;24
2020-01-29;12;22;16;22;14;20;19;22;20;83;26;14;22;14;1;25;25;63;18;19;19;33;48;n/d;n/d;2;59;n/d;34;25;49;43;36;15;29;26;19;20;5;n/d;23
2020-01-29;13;18;21;20;11;14;16;20;15;80;23;n/d;17;10;1;17;20;59;16;12;14;36;43;n/d;n/d;2;51;n/d;30;20;36;32;33;13;26;23;14;21;5;n/d;18
2020-01-29;14;20;18;20;12;16;15;18;14;83;19;n/d;19;12;1;22;19;64;15;14;20;37;57;n/d;n/d;2;53;n/d;36;22;39;46;43;11;28;21;18;25;5;n/d;24
2020-01-29;15;22;17;25;12;19;17;20;17;84;19;15;21;11;1;23;19;67;17;13;23;45;54;94;n/d;2;54;n/d;31;25;37;41;44;15;26;24;22;21;6;n/d;29
2020-01-29;16;26;21;25;13;20;23;22;24;92;23;16;20;16;1;24;26;78;17;18;19;58;69;n/d;n/d;3;62;n/d;40;35;40;51;52;21;35;29;26;29;7;25;23
2020-01-29;17;35;44;37;27;38;35;35;30;105;38;23;32;24;3;40;41;86;33;51;32;71;93;104;n/d;4;70;48;50;55;64;59;65;36;47;35;39;40;10;44;41
2020-01-29;18;48;64;44;38;67;67;45;38;106;54;50;51;32;9;79;54;93;47;46;43;77;118;101;n/d;10;83;56;60;84;95;56;84;51;57;56;84;45;13;53;68
2020-01-29;19;48;61;51;42;76;59;63;46;94;57;60;67;32;9;74;51;88;46;43;49;65;132;92;n/d;13;75;83;63;81;94;67;72;65;62;71;88;55;4;37;84
2020-01-29;20;45;63;56;51;79;55;69;37;92;50;68;61;28;6;78;45;76;52;47;45;51;95;93;n/d;10;69;76;58;74;82;63;69;47;53;68;90;52;3;33;79
2020-01-29;21;43;56;48;31;52;43;77;29;89;38;70;59;25;5;65;46;59;46;45;35;44;94;96;n/d;9;62;74;46;67;76;55;64;40;40;58;84;46;1;31;76
2020-01-29;22;47;50;42;32;51;34;76;23;75;36;55;68;16;5;54;40;68;50;43;42;43;77;89;n/d;8;55;66;67;74;79;60;55;49;42;76;106;46;2;26;72
2020-01-29;23;67;35;21;32;51;25;59;34;91;34;60;58;16;4;48;61;84;68;21;56;50;56;84;n/d;6;79;52;77;69;93;84;77;37;60;72;92;54;5;37;61
2020-01-29;24;54;32;27;36;41;16;45;45;91;30;71;55;12;4;32;60;74;58;14;62;37;57;60;n/d;4;74;51;69;58;68;70;58;29;53;64;84;52;2;33;38
2020-01-30;1;41;26;31;26;23;15;33;33;85;28;62;45;12;6;28;49;58;41;11;52;37;45;48;n/d;5;54;48;65;49;56;61;50;25;40;58;70;48;1;28;24
2020-01-30;2;39;24;29;28;15;12;36;30;73;20;53;40;12;5;31;43;49;35;11;43;35;52;45;n/d;6;47;46;58;45;47;37;41;19;39;52;69;41;2;28;23
2020-01-30;3;35;19;26;29;12;9;29;30;70;19;44;36;11;4;19;37;40;36;21;34;30;57;41;n/d;6;47;28;55;39;42;42;41;17;37;41;67;33;1;25;23
2020-01-30;4;35;29;17;38;12;11;19;33;80;23;44;31;11;5;15;35;39;27;20;37;50;76;42;n/d;6;44;26;49;35;39;40;34;17;41;40;74;30;2;26;18
2020-01-30;5;39;42;20;38;17;17;25;34;90;34;49;32;9;4;16;40;47;29;20;39;54;106;48;n/d;6;52;32;56;37;63;50;31;12;40;41;90;31;2;27;25
2020-01-30;6;48;44;30;49;24;19;38;33;113;38;60;50;13;10;27;49;62;40;30;53;57;122;70;n/d;6;58;46;77;47;81;67;47;13;53;52;104;44;1;34;27
2020-01-30;7;62;51;33;59;26;22;47;41;110;57;61;59;19;14;35;64;75;53;32;62;79;115;72;n/d;5;68;42;74;51;88;76;57;19;58;55;104;47;2;49;45
2020-01-30;8;60;57;34;62;26;31;49;52;105;57;62;55;21;13;36;63;79;53;47;61;75;100;69;n/d;5;69;56;73;56;87;72;67;21;60;57;87;49;10;47;46
2020-01-30;9;59;53;31;57;24;25;37;50;95;58;55;56;15;5;34;61;76;42;35;56;46;91;67;n/d;7;69;48;69;50;86;72;56;20;58;53;91;47;13;45;38
2020-01-30;10;55;51;25;52;25;22;33;44;97;53;48;53;11;4;25;58;79;37;18;56;42;87;64;n/d;7;68;38;72;46;73;70;54;16;56;50;92;44;14;44;34
2020-01-30;11;49;51;25;53;22;17;29;41;94;n/d;42;49;11;4;22;49;77;33;20;51;39;91;65;n/d;6;67;34;66;46;78;68;51;17;53;47;94;40;12;40;26
2020-01-30;12;50;45;24;58;22;22;27;36;94;44;42;44;13;3;20;49;80;36;23;52;34;82;69;n/d;5;70;38;70;47;77;58;54;22;55;47;93;41;11;38;22
2020-01-30;13;49;49;28;54;33;20;37;22;89;40;47;47;12;3;29;49;76;42;16;56;47;65;82;n/d;5;60;39;78;67;80;50;58;20;55;52;89;46;12;44;27
2020-01-30;14;43;35;27;34;28;28;42;20;75;39;50;43;n/d;3;37;39;62;46;14;54;55;61;67;n/d;4;47;41;68;54;73;41;45;26;39;46;66;47;7;31;39
2020-01-30;15;44;33;23;30;24;25;42;19;67;32;47;39;12;3;37;36;71;44;12;48;42;53;69;n/d;3;51;32;65;56;56;45;51;23;33;48;74;48;8;31;48
2020-01-30;16;30;22;23;22;21;32;36;18;74;24;44;27;12;4;32;31;64;35;13;36;48;46;70;n/d;3;50;35;43;49;47;37;50;21;29;37;55;38;7;25;46
2020-01-30;17;35;21;21;19;22;23;23;17;77;24;32;25;16;4;32;32;64;28;14;28;54;50;63;n/d;3;49;36;40;46;61;34;51;22;31;33;46;39;7;22;34
2020-01-30;18;34;21;22;19;19;24;20;17;68;26;31;25;14;4;27;33;61;25;16;28;47;51;58;n/d;3;53;34;36;42;58;37;53;22;30;29;43;35;8;24;32
2020-01-30;19;27;17;17;18;18;17;15;15;74;20;24;21;12;3;20;32;61;20;15;22;33;39;57;n/d;3;52;28;36;33;39;32;46;18;25;26;36;32;8;23;28
2020-01-30;20;28;12;13;16;15;13;13;12;71;16;21;20;10;2;19;28;51;19;14;20;28;33;63;n/d;3;47;27;31;28;38;31;45;13;22;25;33;26;7;21;23
2020-01-30;21;24;9;10;12;11;9;11;10;74;12;16;16;7;2;15;24;48;16;11;15;23;25;63;n/d;2;43;25;31;25;36;26;41;9;17;19;33;22;6;22;19
