date;heure;PA01H;GEN;LOGNES;PA15L;CERGY;NOGENT;A1;DEF;RUR-NO;PA18;OPERA;BOB;RUR_S;RN6;RN2;HAUS;AUT;VITRY;RD934;BASCH;ELYS;RAMBO;BP_EST;TREMB
2020-01-28;3;7;6;3;2;6;2;16;6;10;5;9;8;1;7;11;7;8;7;0;7;8;9;7;7
2020-01-28;4;9;7;6;2;8;8;11;8;6;6;7;5;3;7;10;7;7;6;0;7;6;6;7;7
2020-01-28;5;6;6;7;1;8;5;22;5;6;2;23;3;4;7;6;10;7;5;3;5;5;5;4;5
2020-01-28;6;3;5;1;1;6;1;33;3;4;2;18;4;4;9;6;13;15;4;6;6;8;5;7;3
2020-01-28;7;6;5;4;2;5;4;30;8;4;6;16;8;9;12;11;19;17;6;6;13;13;8;11;7
2020-01-28;8;8;8;5;2;4;4;30;9;6;6;16;7;7;10;7;16;13;14;8;11;14;9;10;12
2020-01-28;9;15;7;6;3;6;8;24;20;4;6;31;11;8;21;7;15;15;11;6;11;12;7;11;9
2020-01-28;10;12;5;7;4;4;9;20;12;6;7;21;10;10;32;9;19;17;9;6;11;14;14;9;8
2020-01-28;11;13;2;5;12;3;6;n/d;10;8;6;20;12;8;27;9;22;43;14;13;14;25;10;18;15
2020-01-28;12;13;6;12;12;8;8;n/d;8;6;9;31;15;8;22;12;24;40;12;16;14;24;7;17;10
2020-01-28;13;10;7;10;7;10;5;n/d;11;5;10;26;7;6;21;14;18;49;9;n/d;16;24;7;15;5
2020-01-28;14;10;5;7;13;8;5;n/d;13;8;10;28;14;8;27;17;20;53;9;n/d;14;21;7;16;6
2020-01-28;15;11;7;6;9;10;6;n/d;13;8;8;32;12;11;28;14;25;52;12;n/d;13;20;8;13;7
2020-01-28;16;12;8;5;5;8;6;n/d;11;6;10;29;9;9;25;16;22;33;13;n/d;11;16;9;16;9
2020-01-28;17;12;9;10;6;10;10;n/d;12;7;11;18;18;9;31;17;25;37;19;n/d;23;23;10;31;10
2020-01-28;18;12;9;10;5;8;8;n/d;15;8;10;18;8;8;35;15;16;23;10;n/d;11;11;9;14;12
2020-01-28;19;11;6;10;5;6;6;n/d;14;6;7;5;8;5;18;16;15;27;9;n/d;12;13;8;13;13
2020-01-28;20;11;8;9;4;7;6;n/d;12;8;7;10;8;6;17;8;18;21;7;n/d;10;10;9;12;11
2020-01-28;21;8;8;7;1;6;8;30;7;6;8;9;4;6;9;6;9;10;5;n/d;8;10;10;7;6
2020-01-28;22;9;6;5;3;7;5;32;7;8;11;12;7;5;14;5;13;16;9;n/d;6;10;10;8;4
2020-01-28;23;9;8;7;6;8;6;30;9;13;11;12;11;5;12;9;12;13;6;n/d;7;8;7;7;7
2020-01-28;24;9;8;8;7;7;5;20;7;8;9;18;12;5;11;13;12;12;9;n/d;13;13;4;15;9
2020-01-29;1;8;7;6;7;9;4;29;5;14;9;18;7;6;7;9;17;14;11;n/d;12;8;19;12;3
2020-01-29;2;7;9;8;5;11;8;18;7;12;10;11;10;3;6;8;13;13;13;n/d;11;13;6;13;7
2020-01-29;3;9;9;8;6;9;9;20;8;14;9;11;10;6;10;7;12;12;9;n/d;10;13;6;11;9
2020-01-29;4;11;10;9;8;12;10;22;8;15;9;12;10;9;9;12;14;14;8;n/d;10;12;13;10;10
2020-01-29;5;10;8;8;8;9;6;27;10;10;9;11;10;12;12;9;15;20;13;n/d;11;11;11;13;9
2020-01-29;6;11;8;10;7;10;10;25;8;14;9;20;10;10;11;12;20;26;16;n/d;13;15;10;24;10
2020-01-29;7;11;7;10;6;9;7;26;8;10;7;24;7;7;17;9;24;24;16;n/d;14;18;9;17;13
2020-01-29;8;10;6;10;6;11;7;36;10;9;6;24;9;8;15;14;23;30;15;n/d;9;16;11;17;14
2020-01-29;9;13;9;11;8;13;8;n/d;11;7;10;29;12;9;28;12;35;38;12;n/d;16;25;9;18;18
2020-01-29;10;15;7;11;6;13;10;n/d;15;12;11;39;19;8;30;15;25;42;12;n/d;19;24;9;15;24
2020-01-29;11;14;9;12;12;12;12;n/d;13;13;12;45;10;7;29;20;29;54;14;n/d;21;28;10;18;19
2020-01-29;12;18;11;14;13;15;12;n/d;10;14;19;39;15;8;32;20;29;67;9;n/d;24;28;10;17;n/d
2020-01-29;13;18;14;15;16;18;14;n/d;19;17;15;38;16;7;36;16;30;55;21;n/d;25;30;13;21;n/d
2020-01-29;14;19;14;18;12;15;14;n/d;21;16;14;46;19;10;29;19;32;60;16;n/d;21;33;13;20;18
2020-01-29;15;20;14;15;11;14;14;n/d;17;10;15;38;15;6;28;23;23;51;15;n/d;23;27;13;18;19
2020-01-29;16;16;11;13;13;13;11;n/d;15;9;14;41;9;8;31;16;28;49;11;n/d;18;27;12;15;18
2020-01-29;17;16;9;15;13;17;11;n/d;15;14;14;44;14;8;41;18;31;52;15;n/d;24;35;10;17;15
2020-01-29;18;17;13;16;18;32;10;n/d;20;13;12;33;19;6;31;23;34;46;18;n/d;26;34;13;31;18
2020-01-29;19;17;13;21;12;21;15;n/d;20;12;13;35;18;10;28;29;39;41;26;n/d;44;27;11;35;22
2020-01-29;20;21;14;24;13;17;21;n/d;21;15;15;43;18;11;28;27;38;38;27;n/d;35;25;20;46;24
2020-01-29;21;22;15;25;9;18;24;n/d;19;14;16;35;22;14;27;25;28;46;26;n/d;35;22;21;40;26
2020-01-29;22;23;15;22;12;18;26;n/d;19;11;20;30;21;13;19;42;28;41;24;n/d;37;23;19;59;25
2020-01-29;23;25;15;21;14;20;22;n/d;13;16;22;40;29;16;21;37;43;36;25;n/d;45;29;16;48;26
2020-01-29;24;26;16;19;18;15;19;n/d;14;13;23;50;24;19;19;30;35;33;22;n/d;33;21;15;42;22
2020-01-30;1;21;14;16;13;13;16;n/d;15;14;19;33;23;13;24;25;25;21;15;n/d;26;25;18;40;18
2020-01-30;2;20;14;17;13;14;17;n/d;13;13;18;24;21;10;18;27;18;17;20;n/d;28;23;14;33;17
2020-01-30;3;21;13;15;19;12;18;n/d;11;15;20;25;20;10;18;25;20;22;16;n/d;27;22;12;30;18
2020-01-30;4;21;16;13;14;14;14;n/d;16;19;19;22;15;14;21;24;22;21;15;n/d;23;18;13;29;15
2020-01-30;5;18;20;13;16;16;11;n/d;18;11;17;26;17;13;18;27;20;24;12;n/d;19;15;14;34;15
2020-01-30;6;16;18;14;9;14;12;n/d;17;16;15;26;15;12;21;29;25;27;8;n/d;26;18;10;38;13
2020-01-30;7;17;15;12;14;14;15;n/d;16;16;15;28;13;11;24;32;31;29;18;n/d;30;17;10;33;n/d
2020-01-30;8;20;17;12;12;12;15;n/d;19;12;18;32;16;8;34;39;34;25;19;n/d;31;31;14;30;16
2020-01-30;9;23;20;11;15;13;12;n/d;23;15;20;38;13;11;21;29;33;30;14;n/d;27;23;8;36;14
2020-01-30;10;22;17;11;10;9;10;n/d;16;8;20;32;11;7;16;22;21;21;9;n/d;18;17;11;25;13
2020-01-30;11;22;13;8;8;8;5;n/d;13;9;14;21;10;2;9;20;19;18;7;n/d;14;16;8;29;9
2020-01-30;12;30;11;6;7;9;6;n/d;n/d;8;11;26;6;1;8;21;21;19;7;n/d;12;14;5;24;7
2020-01-30;13;17;10;6;3;8;9;n/d;n/d;5;11;27;8;3;11;28;16;20;8;n/d;14;16;5;22;5
2020-01-30;14;21;6;7;2;5;7;31;12;8;11;20;9;3;13;26;14;22;6;n/d;11;8;5;21;10
2020-01-30;15;19;4;7;4;3;6;31;9;6;8;15;13;1;13;23;13;16;6;n/d;10;12;7;17;10
2020-01-30;16;11;4;5;0;5;5;26;8;3;7;15;8;1;12;10;13;16;5;n/d;9;11;6;9;10
2020-01-30;17;7;3;4;0;3;4;28;5;2;5;5;8;0;9;8;9;10;6;n/d;10;7;3;10;7
2020-01-30;18;4;2;3;0;3;2;20;n/d;1;3;8;6;1;9;7;10;11;6;n/d;12;6;6;8;6
2020-01-30;19;5;3;4;0;5;3;23;4;3;3;9;2;3;7;5;7;13;7;n/d;6;5;8;4;5
2020-01-30;20;9;3;5;1;6;1;27;9;4;5;n/d;8;3;7;7;12;13;4;n/d;7;8;7;4;6
2020-01-30;21;10;4;4;2;5;2;18;9;3;5;13;6;1;7;8;10;10;7;n/d;9;8;6;3;5
2020-01-30;22;9;4;4;1;4;0;32;3;2;4;6;6;0;5;5;7;12;6;n/d;7;9;4;5;5
2020-01-30;23;7;2;4;1;3;1;20;1;3;4;16;4;3;12;3;10;10;3;n/d;8;9;3;7;4
2020-01-30;24;5;3;3;0;2;2;32;1;3;3;11;2;5;7;3;6;9;1;n/d;6;5;5;6;4
2020-01-31;1;4;1;4;n/d;1;2;17;4;6;2;7;4;3;6;2;5;7;0;n/d;4;3;6;6;3
2020-01-31;2;4;2;3;n/d;3;3;11;2;5;2;11;5;0;6;2;6;7;2;1;4;3;5;7;4
2020-01-31;3;4;0;3;n/d;5;2;6;2;3;2;6;3;0;8;1;4;7;8;1;5;2;8;7;4
2020-01-31;4;2;2;4;n/d;5;1;21;3;5;3;9;1;3;5;2;5;7;6;1;5;4;4;6;3
2020-01-31;5;3;1;2;n/d;6;1;24;3;5;1;8;2;1;10;2;8;11;6;0;5;3;4;6;3
2020-01-31;6;2;0;3;n/d;4;0;29;1;2;1;5;1;1;10;5;11;18;6;n/d;9;5;6;12;3
2020-01-31;7;3;2;5;n/d;5;1;22;1;5;2;23;4;1;12;6;11;25;6;4;9;8;8;12;5
2020-01-31;8;5;3;8;n/d;4;5;25;3;5;3;19;9;0;9;7;15;22;5;4;7;13;6;8;5
2020-01-31;9;6;5;6;n/d;1;3;27;8;2;4;16;5;2;11;8;13;24;5;5;5;10;4;7;6
2020-01-31;10;9;4;5;n/d;2;0;n/d;6;0;4;19;6;1;8;6;16;26;3;3;8;10;4;8;4
2020-01-31;11;10;3;5;n/d;2;0;n/d;7;0;5;27;5;1;10;12;37;22;4;n/d;11;23;9;8;6
2020-01-31;12;9;2;5;n/d;1;3;n/d;6;2;5;50;9;0;11;35;36;41;13;n/d;11;26;8;7;5
2020-01-31;13;10;5;6;n/d;1;3;n/d;8;6;7;49;9;0;17;17;28;36;12;0;23;29;6;16;5
2020-01-31;14;16;5;6;n/d;2;4;n/d;4;4;7;37;17;3;19;31;28;40;8;4;22;26;7;29;6
2020-01-31;15;16;6;6;n/d;5;7;n/d;10;5;7;30;17;2;20;26;18;42;7;14;19;26;7;19;8
2020-01-31;16;10;5;5;n/d;5;6;n/d;11;4;7;34;6;0;19;19;22;29;9;17;13;22;8;17;9
2020-01-31;17;13;5;5;n/d;7;3;36;10;2;6;29;5;1;23;28;18;33;7;6;17;23;7;19;7
2020-01-31;18;13;4;4;n/d;7;3;34;9;3;5;27;6;2;17;19;26;25;5;7;17;24;7;16;6
2020-01-31;19;15;4;3;n/d;5;6;38;11;4;7;27;8;3;25;21;24;26;6;6;21;15;8;21;8
2020-01-31;20;12;4;5;n/d;6;6;41;12;10;7;22;8;3;15;20;15;27;5;6;20;15;10;13;6
2020-01-31;21;16;5;5;n/d;9;3;38;9;6;6;17;7;3;10;22;15;24;3;4;19;12;6;19;5
2020-01-31;22;11;5;5;n/d;8;3;25;4;6;6;18;7;2;8;20;11;19;4;4;19;14;1;18;5
2020-01-31;23;10;2;4;n/d;5;2;27;5;4;5;22;4;1;8;15;15;16;3;2;17;12;2;13;6
2020-01-31;24;6;4;3;n/d;5;2;18;5;2;4;9;3;3;5;7;13;15;2;n/d;9;9;4;14;5
2020-02-01;1;5;1;3;n/d;3;3;20;4;1;3;3;3;2;3;12;10;9;0;0;13;7;12;11;5
2020-02-01;2;6;2;4;n/d;0;2;16;3;2;3;2;1;3;2;10;7;n/d;0;1;9;6;8;7;3
2020-02-01;3;4;1;2;n/d;2;0;12;5;4;2;7;0;7;2;7;7;7;2;1;6;3;5;3;4
2020-02-01;4;4;1;3;n/d;6;0;9;3;2;3;4;0;5;4;3;6;5;5;1;6;5;2;1;6
2020-02-01;5;4;3;4;n/d;5;0;19;3;1;3;2;0;3;3;3;3;11;5;4;5;6;4;10;3
2020-02-01;6;3;3;4;n/d;8;4;14;3;3;2;1;3;6;3;7;3;16;4;3;7;3;4;11;2
2020-02-01;7;4;2;3;n/d;6;3;18;4;0;1;1;4;5;6;6;5;11;3;4;9;3;6;10;3
2020-02-01;8;5;3;4;n/d;5;2;14;4;5;2;2;5;4;7;6;6;16;3;4;8;3;8;10;4
2020-02-01;9;5;3;4;n/d;6;6;23;5;7;3;n/d;3;3;8;4;7;22;4;2;9;8;6;15;5
2020-02-01;10;6;3;3;n/d;6;4;23;6;4;3;n/d;3;2;9;4;8;23;3;2;9;9;10;3;6
2020-02-01;11;3;3;2;n/d;9;2;27;10;3;6;14;4;4;8;6;14;26;9;3;8;12;6;5;5
2020-02-01;12;6;4;4;n/d;6;3;26;5;8;8;15;4;6;10;5;17;15;7;1;9;10;5;9;6
2020-02-01;13;9;4;6;n/d;14;4;43;11;9;9;22;4;5;15;8;19;24;15;6;12;17;7;8;7
2020-02-01;14;12;7;7;n/d;13;4;54;10;12;9;12;9;7;18;12;21;30;15;13;17;21;16;15;9
2020-02-01;15;12;9;10;n/d;11;7;34;8;9;10;13;9;8;22;14;25;30;9;11;16;21;12;13;11
2020-02-01;16;16;8;9;n/d;11;7;41;12;15;13;10;12;8;21;19;25;26;11;11;17;24;9;19;10
2020-02-01;17;13;8;9;n/d;12;8;47;10;11;9;19;11;8;20;15;24;23;9;9;13;12;10;14;11
2020-02-01;18;12;8;7;n/d;12;8;49;10;12;9;21;9;7;21;14;22;28;12;9;14;19;9;18;8
2020-02-01;19;12;11;8;n/d;10;8;36;11;8;9;24;7;6;20;10;15;26;10;9;13;12;10;11;7
2020-02-01;20;11;11;10;n/d;8;8;37;5;n/d;6;22;8;4;21;9;16;22;10;6;11;11;11;10;4
2020-02-01;21;10;5;7;n/d;7;5;37;4;n/d;9;10;9;6;14;7;13;22;8;4;7;9;12;9;6
2020-02-01;22;11;6;8;n/d;6;5;39;8;16;14;10;6;5;15;9;10;18;9;11;11;10;10;6;6
2020-02-01;23;9;8;5;n/d;11;6;36;4;13;9;15;5;7;11;10;12;25;9;7;12;7;7;13;7
2020-02-01;24;7;6;5;n/d;8;5;30;6;9;7;19;8;7;12;12;17;18;10;4;15;10;9;11;10
2020-02-02;1;10;7;9;n/d;10;8;27;6;6;7;9;12;7;21;13;16;15;10;3;13;16;18;14;9
2020-02-02;2;12;9;9;n/d;12;9;23;10;13;10;20;15;6;15;15;16;15;12;6;13;13;8;12;9
2020-02-02;3;10;8;10;n/d;11;10;18;9;9;9;12;9;2;14;9;2;10;10;5;11;8;10;8;12
2020-02-02;4;7;4;6;n/d;8;6;12;5;9;6;2;8;2;8;6;5;8;5;4;7;6;7;10;8
2020-02-02;5;5;4;3;n/d;7;2;14;3;5;5;2;4;2;4;6;5;5;2;0;4;4;5;8;4
2020-02-02;6;5;2;2;n/d;5;0;9;2;2;4;6;0;0;0;4;4;6;n/d;n/d;3;3;6;7;3
2020-02-02;7;3;2;3;n/d;2;1;9;2;3;1;0;0;3;4;4;6;6;0;n/d;4;5;3;6;1
2020-02-02;8;3;2;2;n/d;1;0;15;1;4;1;1;0;4;3;3;4;5;2;1;4;4;5;6;1
2020-02-02;9;2;0;0;n/d;8;n/d;15;4;3;3;0;0;3;2;2;4;10;2;0;6;2;4;4;4
2020-02-02;10;7;3;3;n/d;5;0;26;7;3;2;11;1;2;6;2;4;10;3;0;5;3;4;2;3
2020-02-02;11;4;2;2;n/d;2;0;23;4;5;2;6;2;2;8;2;5;12;2;3;6;5;6;2;1
2020-02-02;12;3;3;4;n/d;3;1;34;1;5;2;6;1;0;9;3;7;14;3;2;6;8;8;3;2
2020-02-02;13;4;1;4;n/d;4;0;37;4;7;4;9;1;2;10;5;13;18;4;2;4;7;9;1;4
2020-02-02;14;3;2;3;n/d;3;2;26;5;5;5;14;1;5;8;3;15;14;9;3;8;4;6;5;4
2020-02-02;15;3;3;4;n/d;3;2;30;4;4;5;5;2;3;10;5;11;21;8;4;8;5;6;6;3
2020-02-02;16;4;3;5;n/d;4;2;22;5;9;5;4;3;2;9;6;9;23;5;5;10;7;6;8;4
2020-02-02;17;7;5;5;n/d;7;3;29;2;5;6;8;3;2;14;7;11;26;7;4;16;9;9;11;4
2020-02-02;18;7;7;6;n/d;8;4;16;5;2;7;7;7;0;12;12;17;28;9;3;11;9;7;10;7
2020-02-02;19;8;7;7;n/d;9;6;32;9;5;7;9;5;2;11;12;15;24;11;3;10;7;7;6;6
2020-02-02;20;7;6;5;n/d;7;5;26;4;5;6;5;3;3;7;9;13;26;8;2;6;15;9;6;4
2020-02-02;21;13;6;5;n/d;5;5;20;2;5;6;3;9;3;5;5;9;24;n/d;3;7;5;6;10;4
2020-02-02;22;9;3;5;n/d;5;4;44;4;3;5;4;8;2;7;5;5;14;5;1;6;4;4;7;4
2020-02-02;23;6;4;3;n/d;8;2;37;4;3;4;n/d;5;4;5;5;8;20;5;2;6;5;5;4;2
2020-02-02;24;6;4;2;n/d;6;3;21;4;3;4;4;2;19;7;6;7;11;2;3;5;6;5;5;5
2020-02-03;1;2;2;4;0;4;3;14;3;2;2;6;2;10;17;4;5;8;0;0;4;3;8;7;5
2020-02-03;2;1;3;3;n/d;1;2;10;2;2;1;4;2;12;7;2;4;7;1;0;4;2;7;14;5
2020-02-03;3;1;2;3;n/d;3;1;8;0;2;3;2;1;12;9;0;4;5;2;1;4;3;10;7;3
2020-02-03;4;3;1;4;n/d;7;1;17;2;1;1;4;2;9;7;0;5;13;1;0;5;3;7;3;2
2020-02-03;5;5;3;2;0;5;1;29;4;3;3;7;4;5;5;7;7;20;0;1;9;6;9;5;3
2020-02-03;6;6;3;4;0;5;0;39;8;5;5;2;6;6;6;12;8;27;4;2;9;7;10;8;4
2020-02-03;7;8;7;8;1;7;4;33;8;7;6;5;6;9;19;6;9;22;8;4;10;11;9;10;6
2020-02-03;8;7;8;10;5;12;8;29;10;8;8;10;7;7;22;8;16;23;8;10;13;14;10;13;10
2020-02-03;9;11;10;10;8;14;8;n/d;17;13;11;24;19;6;20;12;34;35;13;8;14;30;13;21;9
2020-02-03;10;15;13;12;7;15;9;n/d;17;13;14;45;18;5;13;24;30;37;13;11;21;33;10;25;9
2020-02-03;11;13;12;14;11;11;13;n/d;16;15;13;53;20;5;24;22;23;46;15;9;24;30;10;18;11
2020-02-03;12;19;12;16;12;10;15;n/d;14;10;12;51;15;6;33;21;25;49;13;15;27;27;14;20;15
2020-02-03;13;24;14;13;8;14;9;n/d;27;9;19;32;16;5;35;27;34;49;17;14;27;29;13;26;13
2020-02-03;14;21;13;11;8;16;8;n/d;23;15;20;50;15;5;25;24;33;48;14;21;30;28;12;32;13
2020-02-03;15;15;13;13;5;12;11;n/d;17;14;17;38;19;6;32;28;24;39;14;17;25;28;14;19;13
